#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Function Category,Rank,Actual Start Date,Actual Due Date,External Id,FS Update,FS Update Category,Schedule Impact,Estimated Impact,Actual Impact,Current Assignee,Discovered Test Process,Occurrence Condition,Cause Identified on,Cause Classification,Insertion Phase,Related member,Completion Condition,Assignee on Vendor side,Free text_1,Free text_2,Free text_3,Free numeric value_1,Free numeric value_2,Free numeric value_3,Private,Description
7105,4865_Post DRAGON Core Development,Bug,"",New,High,B054- Failed,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/04/2016 02:10 PM,"","",04/04/2016,"","",0,0,04/04/2016 02:10 PM,"","",Batch / ???,A,"","",B000054,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"B054 failed..

Please find the attached log."
7104,4865_Post DRAGON Core Development,Bug,"",New,High,S-048- NO response in screen while OCF validation operation & save operation,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/04/2016 03:26 PM,"","",04/04/2016,"","",0,0,04/04/2016 01:53 PM,"","",Screen / ??,A,"","",S048,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"S-048- NO response in screen while OCF validation operation & save operation.
Please find the attached  step by step screen shots and server logs.

Note : Unable to execute B54"
7099,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S036- All the buttons are disabled except save,GAYATHRI CHANDRAMOULI,VICTOR-JOHN PAUL,04/04/2016 05:19 PM,"","",04/04/2016,"","",0,50,04/04/2016 11:51 AM,"","","",B,"","",S036,No,"",No,"","",RNTBCI,?????/Integration Test,"","","","","","","","","","","","","",No,"In S036, Unable to search the data as all the buttons are disabled except save button.
Still I have data in service parameter master."
7095,4865_Post DRAGON Core Development,Bug,"",New,Normal,S025:Regression issue for S025(Indicus_508),NIKHIL RUIKAR,ARIF AHMED,04/04/2016 01:17 PM,"","",04/04/2016,04/05/2016,"",0,0,04/04/2016 10:29 AM,"","",Screen / ??,A,"","",S025,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","",Regression,"","","","","",No,"S025:Regression issue for S025

1.Navigate to this screen
2.Select POR=66 in ""Check Creation Batch Result"" section
3.Now,clean values in ""Batch Request From"" and ""Batch Request To "" fields.
4.Click on Check Creation Batch Result button.

Actual: After step4,""Check Creation Batch Result"" section is vanished from screen.

5.Now,Click on Create N+3 Onwards EIM Forecast button.

Actual:After step5,Validation messages are not shown for mandatory selection."
7094,4865_Post DRAGON Core Development,Bug,"",New,Normal,S027:Warning message needs to be corrected for OTBM as per design document.(Indicus_507),NIKHIL RUIKAR,SOUNDERARAJAN DASHINA,04/04/2016 01:17 PM,"","",04/04/2016,04/11/2016,"",0,0,04/04/2016 10:27 AM,"","",Screen / ??,C,"","",S027,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S027:Warning message needs to be corrected for OTBM
Req is as follows:
 CONDITION                                     
  MONTHLY_ORDER_TAKE_BASE_PERIOD_MST.POR_CD=[P0002 - SELECTED POR_CD] AND    
  MONTHLY_ORDER_TAKE_BASE_PERIOD_MST.STAGE_CD <>""SC""               
 If ORDER_TAKE_BASE_MONTH does not exist for the selected POR_CD, display the warning message.   
                                  
  Message ID M00217                              
  Message  There is no  &1  Stage found in &2  for  POR =&3                              
  Parameter1 &1:Ongoing Draft or Final Stage; &2:MONTHLY_ORDER_TAKE_BASE_PERIOD_MST &3:[P0002- SELECTED POR_CD]                              
  Type   Warning                              
Actual: This req is not fulfilled.
Expected: This req should be fulfilled"
7093,4865_Post DRAGON Core Development,Bug,"",New,Normal,S027:Irrelevent message shown on click of Cancel.(Indicus_506),NIKHIL RUIKAR,SOUNDERARAJAN DASHINA,04/04/2016 01:17 PM,"","",04/04/2016,04/11/2016,"",0,0,04/04/2016 10:24 AM,"","",Screen / ??,C,"","",S027,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S027:Irrelevent message shown on click of Cancel.
1.Perform any valid search.
2.Click on Cancel.(""Please Modify the Record before update ""message will be shown)

Above message is irrelevant since user has clicked on Cancel.
Expected: Hence, message should be modified/removed as per common standard that applies in this case."
7086,4865_Post DRAGON Core Development,Bug,"",New,High,R000020 - Error occurred while performing Report function,JUNICHI FUJITA,SAMBIT BEDANTA,04/01/2016 06:44 PM,"","",04/01/2016,"","",0,0,04/01/2016 06:44 PM,"","",Report-List / ??,A,"","",R000020,No,"",No,"","",RNTBCI,?????/Integration Test,"","","","","","",THAMIZHANBAN GOKULAKRISHNAN,"","","","","","",No,"*Error occurred while performing Reporting function

Please find the attached log and screen shot.*"
7085,4865_Post DRAGON Core Development,Bug,"",New,High,"S026- Download not possble for ""order""",NIKHIL RUIKAR,JAIKUMAR VELLINGIRI,04/01/2016 05:16 PM,"","",04/01/2016,04/04/2016,"",0,0,04/01/2016 05:12 PM,"","",Screen / ??,A,"","",S026,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"when ""order"" is selected as download item. nothing is being downloaded. and no error also shown. 
Please look into the issue. "
7079,4865_Post DRAGON Core Development,Bug,"",New,High,S057- Error occurred while performing the search operation.,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 02:41 PM,"","",04/01/2016,"","",0,0,04/01/2016 02:41 PM,"","",Screen / ??,A,"","",S057,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Error occurred while performing the search operation.

Please find the attached log and screen shot."
7075,4865_Post DRAGON Core Development,Bug,"",New,Normal,S051- Search result not populated,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 01:22 PM,"","",04/01/2016,"","",0,0,04/01/2016 01:22 PM,"","",Screen / ??,B,"","",S051,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"S051- Search result not populated if user id given in lower case .

Please find the attached screen shot."
7074,4865_Post DRAGON Core Development,Bug,"",New,Normal,S051- Deleted order history information not displayed in weekly change histroy screen,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 01:16 PM,"","",04/01/2016,"","",0,0,04/01/2016 01:16 PM,"","",Screen / ??,B,"","",S051,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"S051- Deleted order history information not displayed in weekly change history screen.

Please find the attached evidence.
1. DB data
2. Screen shot
3. Design screen shot."
7064,4865_Post DRAGON Core Development,Bug,"",Closed,Normal,B0000007- While reexecuting the batch second time the batch stop due to wrong parameter passed to the query,GAYATHRI CHANDRAMOULI,GAYATHRI CHANDRAMOULI,04/04/2016 02:04 PM,"","",03/31/2016,"","",0,100,03/31/2016 08:46 PM,04/04/2016 02:04 PM,"",Batch / ???,B,"","",B000007,No,"",No,"","",NML,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Executed B00007 second time with update flag 1.
the table name passed in the binding parameter is MST_OSEI_DTL and in the spec reexecute table the table name is mentioned as ORDERABLE_SALES_END_ITEM_DETAIL_MST.

Please confirm the same and deploy."
7063,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S048 add can't be done by upload,HITOSHI YOSHINO,HITOSHI YOSHINO,03/31/2016 09:44 PM,"","",03/31/2016,"","",0,50,03/31/2016 07:27 PM,"","",Screen / ??,B,"","",PST-DRG-S048,No,"",No,"","",NML,?????/Integration Test,normal,"",Operation Miss / ????,"","","","","","","","","","",No,"Regarding to S048 - Weekly Order Input, new POT can't be add by upload.

Environment : QA
Procedure :
1. Download.
2. Edit downloaded file.
   - Copy a row and put new POT code to the new row.
3. Upload the file.
-> New row is not added and an error is returned.

I expected to add new row to Weekly Order with new POT code."
7062,4865_Post DRAGON Core Development,Bug,"",New,Normal,S048 download fail after search,HITOSHI YOSHINO,KALYAN KANAKASABAPATHY,03/31/2016 07:13 PM,"","",03/31/2016,"","",0,0,03/31/2016 07:06 PM,"","",Screen / ??,B,"","",PST-DRG-S048,No,"",No,"","",RNTBCI,?????/Integration Test,"","","","","","","","","","","","","",No,"Regarding to S048 - Weekly Order Input, in some cases download fails after search execution.

Environment: QA
Procedure:
1. Select values for dropdowns as below.
Production Order Receiver : 06
Buyer Group : 5ASR00
Car Series : D225
2. Execute Search
3. Execute Download
-> Full white screen is displayed and download is not be done.

If download is executed before search, it's done successfully.
And download after search can be done with some other Buyer Group and Car Series.
The condition is unclear yet."
7056,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,B00051- Suspended enditems not created correctly.,HARIHARAKUMARAN SOLAISAMY,SAMBIT BEDANTA,04/01/2016 09:04 PM,"","",03/31/2016,"","",0,80,03/31/2016 05:45 PM,"","",Batch / ???,B,"","",B000051,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"In the below scenario, suspended orders not created correctly.
OSEI_ID	          OSEI_ADPT_DATE	OSEI_SUSPENDED_DATE	OSEI_ABLSH_DATE
OSEI0000000000286055	20150611	20150731	      20701211
OSEI0000000000286055	20150751	20701211	      20701211

Please find the attached screen shot."
7040,4865_Post DRAGON Core Development,Bug,"",Closed,High,B000034- persistance exception,SURENDRAN PALANISAMY,SURENDRAN PALANISAMY,04/01/2016 12:55 PM,"","",03/31/2016,03/31/2016,"",0,100,03/31/2016 01:40 PM,04/01/2016 12:55 PM,"",Batch / ???,A,03/31/2016,"",B000034,No,"",No,"","",RNTBCI,?????/Joint test,normal,"",Defective Environment / ????,Implementation,SAMBIT BEDANTA,"","",JT,"",LOT3#3,"","","",No,"Execute the batch and check for the insertion.
Batch ended with exception"
7039,4865_Post DRAGON Core Development,Bug,"",Closed,High,B000034-Null pointer exception,SURENDRAN PALANISAMY,SURENDRAN PALANISAMY,03/31/2016 07:31 PM,"","",03/31/2016,03/31/2016,"",0,100,03/31/2016 01:37 PM,03/31/2016 07:31 PM,"",Batch / ???,B,03/31/2016,"",B000034,No,"",No,"","",RNTBCI,?????/Joint test,normal,03/31/2016,Bug / ??,Implementation,SAMBIT BEDANTA,"","",JT,"",LOT3#3,"","","",No,"Execute the batch with no data in weekly order take base period.
Batch ended with null pointer exception"
7036,4865_Post DRAGON Core Development,Bug,"",In Progress,Normal,S074- Clear functionality is not working propery.,HARIHARAKUMARAN SOLAISAMY,KALYAN KANAKASABAPATHY,04/01/2016 04:49 PM,"","",03/31/2016,"","",0,30,03/31/2016 12:04 PM,"","",Screen / ??,B,"","",S074,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Please find the attached document for further details.
Please unzip the document and open in Internet explorer."
7034,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S074-Unable to allocate OCF limit  by buyer group level,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/04/2016 03:07 PM,"","",03/31/2016,"","",0,50,03/31/2016 11:45 AM,"","",Screen / ??,B,"","",S074,No,"",No,"","",NML,?????/Integration Test,normal,"","","",PRASHANT CHOTHANI,"","","","","","","","",No,"Scenario :
GOM OCF region contains two Buyer groups - 5NZE00 & 5ASR00
Regional OCF limit set as 10.
and via screen 74, trying to allocate each 5 to two buyer groups.
But unable to save the data.

Please find the attached screen shot."
7032,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S022_spec destination code not allowing four digits to enter,GAYATHRI CHANDRAMOULI,HARIHARAKUMARAN SOLAISAMY,03/31/2016 02:31 PM,"","",03/31/2016,"","",0,50,03/31/2016 11:32 AM,"","","",B,"","",S022,No,"",No,"","",NML,?????/Integration Test,"","","","","","","","","","","","","",No,"In screen 22 , unable to enter more than 3 digits."
7031,4865_Post DRAGON Core Development,Issue,"",Resolved,High,B000062 Receive : I000062 Filtering & Sorting work Failure,SHINICHI KANAI,SAMBIT BEDANTA,03/31/2016 09:24 PM,"","",03/31/2016,"","",0,80,03/31/2016 11:14 AM,"","",Batch / ???,A,"","","B000062, I000062","","",No,"","",RNTBCI,"","","","","","","","","","","","","","",No,"1. Overview;
Even though the filtering & sorting condtion are set in MST_IF_FILTERING & MST_IF_SORTING, the filtering & sorting condtion don't work.

2. Request;
Please investinagte the reasons & submit the solution.

3. Precondtion;
I/F ID : I000062,
POR : 16,
CAR_SERIES(Filtered) : D231,
From PRODUCTION_PERIOD(Filtered) : 2016042, 
To PRODUCTION_PERIOD(Filtered): 2016053,
PRODUCTION_PERIOD : Sorting : D(Decending)

4.Details;
(1)Filtering & Sorting Condition are set in MST_IF_FILTERING & MST_IF_SORTING. (Please see the sheet No.1)
(2)The test data (I000062.txt) are used. 
(3)Under the filtering & sorting condtion, the target records should be executed for No. 5 to No.9. (Please see the sheet No.4)
(4)Actual : After executing the B000059 (Receive File) batch, all the 18 records are stored in CMN_INTERFACE_DATA(SEQ No.3). (Please see the Sheet No.6) 

5. Evidence;

http://nissan-asia-workspace.share.jp.nissan.biz/IS/Prj4178/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2FIS%2FPrj4178%2FShared%20Documents%2F1%2E%20Implementation%2F20%5FMake%2F50%5FIS%20Test%20Deliverables%2F00%5FCommon%2F001%5FConversion%5FLayer%2F003%5FEvidence%2FB000062%5FReceive%2FI000062&InitialTabId=Ribbon%2EDocument&VisibilityContext=WSSTabPersistence
"
7030,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,B051- Base data not summarized based on Parameter master Plant code and Line class value,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/01/2016 07:21 PM,"","",03/31/2016,"","",0,80,03/31/2016 10:32 AM,"","",Batch / ???,B,"","",B000051,No,"",No,"","",NML,?????/Integration Test,normal,"",Bug / ??,"","","","","","","","","","",No,"B051- while creating Base data, the data has not summarized based on Parameter master Plant code and Line class value.
Parameter master weekly OCF summary flag is Y, but data not summarized based on given plant code and Line class.

Please find the attached screen shot and log.

http://nissan-asia-workspace.share.jp.nissan.biz/IS/Prj4178/Shared%20Documents/1.%20Implementation/20_Make/50_IS%20Test%20Deliverables/01_LOT1/C2-Cycle/B000051.2016033019364462.zip"
7029,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,S073:More than 7 digit Lmt and usg qty are accepted.(Indicus_505),NIKHIL RUIKAR,NIKHIL RUIKAR,04/04/2016 04:05 PM,"","",03/31/2016,04/06/2016,"",0,80,03/31/2016 10:19 AM,"","",Screen / ??,C,"","",S073,No,"",No,"","",NML,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S073:More than 7 digit Lmt and usg qty are accepted.

Ref:Post_DRAGON_ER_Diagram_work_V.2.1.5 - with Length.pdf

Please verify it wherever applicable across all screens for all type of qty such as MS QTY,Order QTY etc."
7028,4865_Post DRAGON Core Development,Bug,"",New,Normal,S073:Strange grid shown when there is no data for selected search criteria.(Indicus_504),NIKHIL RUIKAR,RAMKUMAR PAULPANDIAN,03/31/2016 01:04 PM,"","",03/31/2016,04/04/2016,"",0,0,03/31/2016 10:18 AM,"","",Screen / ??,B,"","",S073,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","",Regression,"","","","","",No,"S073:Strange grid shown when there is no data for selected search criteria.

Search criteria: POR=66,OTBP=201603,OCF Region=U-USA,CS=D405,All in other combos"
7027,4865_Post DRAGON Core Development,Bug,"",New,Normal,S073:Strange errors are shown.(Indicus_503),NIKHIL RUIKAR,RAMKUMAR PAULPANDIAN,03/31/2016 01:04 PM,"","",03/31/2016,04/04/2016,"",0,0,03/31/2016 10:13 AM,"","",Screen / ??,B,"","",S073,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S073:Strange errors are shown.

1.Navigate to this screen.
2.Don't select por cd
3.Enter some random text in dropdowns.
4.Click Search.

After step4,strange errors are shown on screen."
7026,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S073:Draft stage grid issues.(Indicus_502),NIKHIL RUIKAR,SAMBIT BEDANTA,04/01/2016 04:24 PM,"","",03/31/2016,04/01/2016,"",0,50,03/31/2016 10:09 AM,"","",Screen / ??,A,"","",S073,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"",Bug / ??,Implementation,"","","","","","","","","",No,"S073: Draft stage grid issues.

1.Feat 01774 data is not shown in grid (upper section)for draft stage.
2.Also red color, OCF TTL  is wrongly shown for few buyer groups."
7025,4865_Post DRAGON Core Development,Bug,"",Closed,High,B000047- null pointer exception,SURENDRAN PALANISAMY,SANGEETHA RAGHUNATHAN,03/30/2016 09:11 PM,"","",03/30/2016,03/30/2016,"",0,100,03/30/2016 08:11 PM,03/30/2016 09:11 PM,"",Batch / ???,A,03/30/2016,"",B000047,No,"",No,"","",RNTBCI,?????/Joint test,normal,03/30/2016,Bug / ??,Implementation,SAMBIT BEDANTA,"","",JT,"",LOT3#3,"","","",No,"Execute the batch and check for the insertion.
Batch ended with exception"
7020,4865_Post DRAGON Core Development,Bug,"",New,Normal,B051- Performance Issue,HARIHARAKUMARAN SOLAISAMY,RAMESH MURUGESAN,03/31/2016 01:51 PM,"","",03/30/2016,"","",0,0,03/30/2016 06:26 PM,"","",Batch / ???,A,"","",B000051,No,"",No,"","",RNTBCI,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Batch51 has taken 1 hour 15 minutes for 1742 End items.

Please find the log in the below path.
http://nissan-asia-workspace.share.jp.nissan.biz/IS/Prj4178/Shared%20Documents/1.%20Implementation/20_Make/50_IS%20Test%20Deliverables/01_LOT1/C2-Cycle/B000051.20160330163950802.zip"
7019,4865_Post DRAGON Core Development,Bug,"",Closed,High,B000040-Batch stopped by updting error messgae,SURENDRAN PALANISAMY,ANANTHA KRISHNAN,03/30/2016 10:24 PM,"","",03/30/2016,03/31/2016,"",0,100,03/30/2016 05:45 PM,03/30/2016 10:24 PM,"",Batch / ???,A,03/30/2016,"",B000040,No,"",No,"","",RNTBCI,?????/Joint test,normal,03/30/2016,Bug / ??,Implementation,SAMBIT BEDANTA,"","",JT,"",LOT3#3,"","","",No,"Execute the batch and check for the  insertion in weekly prod order trn,.

Batch stopped by updating the error messgae"
7018,4865_Post DRAGON Core Development,Bug,"",Closed,High,B000047- insertion for paraemter value as 3 and 4 is wrong,SURENDRAN PALANISAMY,SANGEETHA RAGHUNATHAN,03/31/2016 12:10 PM,"","",03/28/2016,03/28/2016,"",0,100,03/30/2016 05:37 PM,03/31/2016 12:10 PM,Copied from #6922,Batch / ???,B,03/28/2016,"",B000047,No,"",No,"","",RNTBCI,?????/Joint test,normal,03/28/2016,Bug / ??,Implementation,SAMBIT BEDANTA,"","",JT,"",LOT3#3,"","","",No,"Batch insertion for allcoation value 3 and 4  is wrong


"
7017,4865_Post DRAGON Core Development,Bug,"",Closed,High,B00007 stops execution for first time even though update only flag is N,GAYATHRI CHANDRAMOULI,GAYATHRI CHANDRAMOULI,03/31/2016 08:43 PM,"","",03/30/2016,"","",0,100,03/30/2016 05:08 PM,03/31/2016 08:43 PM,"",Batch / ???,A,"","",B000007,No,"",No,"","",NML,?????/Integration Test,normal,"",Faulty Data / ?????,"","","","","","","","","","",No,"B00007 is executed first time for POR code 01, and update only flag is N.
still the batch checks for the SPEC REEXECUTE table for the batch data.

Please confirm."
7016,4865_Post DRAGON Core Development,Request,"",Closed,Normal,B000029:  Monthly Schedule Check--- Unclear Basic design,THARANI THANGARAJ,THARANI THANGARAJ,04/01/2016 05:32 PM,"","",03/30/2016,"","",0,100,03/30/2016 02:42 PM,04/01/2016 05:32 PM,"","","","","",B000029,"","","","","",Primary Vendor,"","","","","","","","","","","","","","",No,"Hi,

From the Specification document/Basic Design (Ordering_PST-DRG-B000029_Monthly-Schedule-Check_1.0.xlsm, document attached), please let us know 
1.   Where to find matching of MONTHLY PRODUCTION ORDER TRN and MONTHLY PRODUCTION SCHEDULE TRN.  (If missing in the BD, please provide).
2.   From the ProcessID P0003, Extract the production Order information keys are missing for the below tables:
        MONTHLY PRODUCTION ORDER TRN													
        ORDERABLE END ITEM BUYER MST													
        ORDERABLE SALES END ITEM MST													
        ORDERABLE END ITEM SPEC MST													
        ORDERABLE SALES END ITEM DETAIL MST	
3.  From the ProcessID P0006.1,	 can not find the table LATEST PRODUCTION SCHEDULE TRN .											
   Please provide the above 3 information, to proceed to the next step of IS testing.



Share point link of B000029 is enclosed below:
------------------------------------------------
http://nissan-asia-workspace.share.jp.nissan.biz/IS/Prj1746/Shared%20Documents/Forms/AllItems.aspx?Paged=TRUE&PagedPrev=TRUE&p_SortBehavior=0&p_FileLeafRef=Ordering%5fPST%2dDRG%2dB000030%5fCreate%2dMonthly%2dOrder%2dTake%2dBase%2dPeriod%5f1%2e0%2exlsm&p_ID=10878&RootFolder=%2fIS%2fPrj1746%2fShared%20Documents%2fDeliverable%2f20%5fSystem%5fDesign%5fDocument&PageFirstRow=31&TreeField=Folders&TreeValue=Deliverable%2F20%5FSystem%5FDesign%5FDocument&ProcessQStringToCAML=1&&View={AEB72070-C30B-4F5D-A7AB-F89BD1189B7F}



Regards
Tharani. T"
7015,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,S074- UI Issue,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/01/2016 06:45 PM,"","",03/30/2016,"","",0,80,03/30/2016 02:01 PM,"","",Screen / ??,B,"","",S074,No,"",No,"","",NML,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Lot of empty space in B?G day level allocation pop-up.
Due to this space, save and cancel button not visible to user.
Every time user need to scroll down and save the data.

Please find the attached screen shot."
7014,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,S074 UI issue,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/01/2016 06:46 PM,"","",03/30/2016,"","",0,80,03/30/2016 01:54 PM,"","",Screen / ??,C,"","",S074,No,"",No,"","",NML,?????/Integration Test,normal,"","","","","","","","","","","","",No,"Two records are displaying in search result, but both are displaying in different pages."
7011,4865_Post DRAGON Core Development,Bug,"",Resolved,Normal,B051-Base data creation - 00 frame code validation check not happend,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/01/2016 07:21 PM,"","",03/30/2016,"","",0,80,03/30/2016 11:55 AM,"","",Batch / ???,B,"","",B000051,No,"",No,"","",NML,?????/Integration Test,normal,"","","","","","","","","","","","",No,"The below OSEI IDs, there is no 00 frame code in Spec Master.
OSEI0000000000284679   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284682   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284684   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284678   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284683   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284680   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000284681   ->  OTHER FRAME CD EXISTS - ONLY 00 FRAME CD NOT AVAILABLE 
OSEI0000000000286695   ->  NO FEATURE CD EXISTS 
OSEI0000000000286690   ->  NO FEATURE CD EXISTS 
OSEI0000000000286696   ->  NO FEATURE CD EXISTS 
OSEI0000000000286694   ->  NO FEATURE CD EXISTS 
OSEI0000000000286692   ->  NO FEATURE CD EXISTS 
OSEI0000000000286691   ->  NO FEATURE CD EXISTS 
OSEI0000000000286693   ->  NO FEATURE CD EXISTS 

but base data created for the mentioned OSEI ID in the weekly tables. This should be checked and batch has to stopped with proper error message.
Please find the attached screen shot."
7009,4865_Post DRAGON Core Development,Bug,"",Feedback,Normal,S-17  OCF Feature information not displayed in Pop up screen.,HARIHARAKUMARAN SOLAISAMY,HARIHARAKUMARAN SOLAISAMY,04/04/2016 03:05 PM,"","",03/30/2016,"","",0,50,03/30/2016 10:50 AM,"","",Screen / ??,B,"","",S017,No,"",No,"","",NML,?????/Integration Test,normal,"",Faulty Data / ?????,"","","","","","","","","","",No,"S-17  OCF Feature information is  not displayed in Pop up screen.
Please find the attached screen shot.
1. Pop up screen opened from S048 using feature link
2. OCF feature not attached message is showing in the pop up screen.
Please find the attached screen shot.

Note :  In my understanding with out OCF feature attached , End items will not be come up to weekly order stage. "
7007,4865_Post DRAGON Core Development,Bug,"",Closed,High,"S028: Values are not shown in Pattern,Volume or OCF,Horizon combos in Allocation Support Tool section.(Indicus_500)",NIKHIL RUIKAR,NIKHIL RUIKAR,03/30/2016 06:57 PM,"","",03/30/2016,03/31/2016,"",0,100,03/30/2016 10:18 AM,03/30/2016 06:57 PM,"",Screen / ??,A,"","",S028,No,"",No,"","",NML,?????/Integration Test,normal,"",Faulty Data / ?????,Implementation,"","","",Regression,"","","","","",No,"S028: Values are not shown in Pattern, Volume or OCF, Horizon combos in Allocation Support Tool section.
Previously these values were getting displayed."
7006,4865_Post DRAGON Core Development,Bug,"",Closed,Normal,S029: Suspended column is not showing 'NG'  when CS is abolished in same month as that of OTBM.(Indicus_399),NIKHIL RUIKAR,NIKHIL RUIKAR,04/04/2016 10:13 AM,"","",03/30/2016,04/01/2016,"",0,100,03/30/2016 10:15 AM,04/04/2016 10:13 AM,"",Screen / ??,A,"","",S029,No,"",No,"","",NML,?????/Integration Test,normal,"",Defective Design / ????,Implementation,"","","","","","","","","",No,"S029: Suspended column is not showing 'NG'  when CS is abolished in same month as that of OTBM.

Expected: Suspended column should show 'NG' in this case ."
7005,4865_Post DRAGON Core Development,Bug,"",Rejected,Normal,"S029: Suspended column is not showing 'NG'  for N+3 onwards production months for Buyer Group having horizon=3 ,in grid for draft stage.(Indicus_398)",NIKHIL RUIKAR,NIKHIL RUIKAR,03/30/2016 02:17 PM,"","",03/30/2016,04/01/2016,"",0,100,03/30/2016 10:13 AM,03/30/2016 02:17 PM,"",Screen / ??,A,"","",S029,No,"",No,"","",NML,?????/Integration Test,normal,"",Not a Defect - As Excpected / ????,Implementation,"","","","","","","","","",No,"S029: Suspended column is not showing 'NG'  for N+3 onwards production months for Buyer Group having horizon=3 ,in grid for draft stage.

Expected: Suspended column should show 'NG' in this case but validation should be ""YES"" as End item is suspended in  N+3 onwards production month (Here Buyer Group is having horizon=3)"
7004,4865_Post DRAGON Core Development,Bug,"",Rejected,Normal,"S029:OCF is not showing 'NG' even when Buyer_GRP_OCF_USG_QTY is not equal to  Buyer_GRP_OCF_LMT_QTY for 00 frame code for Buyer Group having horizon=3, in grid for final stage.(Indicus_397)",NIKHIL RUIKAR,NIKHIL RUIKAR,03/30/2016 02:11 PM,"","",03/30/2016,04/01/2016,"",0,100,03/30/2016 10:11 AM,03/30/2016 02:11 PM,"",Screen / ??,A,"","",S029,No,"",No,"","",NML,?????/Integration Test,normal,"",Not a Defect - As Excpected / ????,Implementation,"","","","","","","","","",No,S029:OCF is not showing 'NG' even when Buyer_GRP_OCF_USG_QTY is not equal to  Buyer_GRP_OCF_LMT_QTY for 00 frame code.
